"title","creator","type","description","release_date","language"
"Go Ahead","Ding Ziguang","TV Show","A Chinese show led by Ding Ziguang, Go Ahead premiered around 2020 and blends episodic hooks with season-long arcs and production polish.","2020-08-10","Mandarin"
"Goblin","Lee Eung-bok","TV Show","A South Korean show led by Lee Eung-bok, Goblin premiered around 2016 and blends episodic hooks with season-long arcs and production polish.","2016-12-02","Korean"
"Good Trouble","Freeform","TV Show","Includes storylines that follow young activists and artists in Los Angeles including nuanced arcs for Asian American characters navigating work and justice.","2019-01-09","English"
"Goodnight Punpun","Inio Asano","Manga","Goodnight Punpun (2007) is serialized manga by Inio Asano, pairing panel rhythm and dialogue with a strong visual identity rooted in Japanese comics culture.","2007-03-15","Japanese"
"Gook","Justin Chon","Movie","Gook (2017) is an American film by Justin Chon, following characters through conflict and consequence with a distinctive visual and narrative voice.","2017-08-18","English / Korean"
"Grave of the Fireflies","Isao Takahata","Movie","Grave of the Fireflies (1988) is a Japanese film by Isao Takahata, following characters through conflict and consequence with a distinctive visual and narrative voice.","1988-04-16","Japanese"
"Gullak","Amrit Raj Gupta","TV Show","Gullak (2019 debut) is an Indian series by Amrit Raj Gupta, built for long-form storytelling, recurring characters, and serialized stakes.","2019-06-27","Hindi"
"Gully Boy","Zoya Akhtar","Movie","Gully Boy (2019) is an Indian film by Zoya Akhtar, following characters through conflict and consequence with a distinctive visual and narrative voice.","2019-02-14","Hindi"
"Gully Boy","Ankur Tewari, Divine, Dub Sharma, and Naezy","Music","Gully Boy (2019), from Ankur Tewari, Divine, Dub Sharma, and Naezy, collects tracks that highlight tone, arrangement, and era-defining studio choices in Indian pop and soundtrack culture.","2019-02-14","Hindi"
"Haikyu!!","Susumu Mitsunaka","Anime","Haikyu!! (2014) is a Japanese animated series by Susumu Mitsunaka, known for pacing, design, and serialized storytelling that built a wide fan base.","2014-04-06","Japanese"
"Hale County This Morning This Evening","RaMell Ross","Documentary","Shot through an American lens, Hale County This Morning This Evening (2018) comes from filmmaker RaMell Ross and asks viewers to sit with facts, context, and human detail.","2018-02-09","English"
"Hana-bi","Takeshi Kitano","Movie","Hana-bi (1997) is a Japanese film directed by Takeshi Kitano, balancing character drama with memorable set pieces and tone.","1997-12-20","Japanese"
"Happier Than Ever","Billie Eilish","Music","Happier Than Ever (2021) is a recorded project by Billie Eilish, showcasing melody, production, and performance within the American popular-music landscape.","2021-07-30","English"
"Happy Together","Wong Kar-wai","Movie","Happy Together (1997) is a Hong Kong film by Wong Kar-wai, following characters through conflict and consequence with a distinctive visual and narrative voice.","1997-05-30","Cantonese"
"Harakiri","Masaki Kobayashi","Movie","Released in 1962, Harakiri is a Japanese feature shaped by Masaki Kobayashi, pairing strong performances with a clear sense of place and pacing.","1962-09-16","Japanese"
"Hard Boiled","John Woo","Movie","This 1992 Hong Kong release, Hard Boiled, is helmed by John Woo and sits among standout work from its era for mood, story, and craft.","1992-04-16","Cantonese"
"Harold and Kumar Go to White Castle","Danny Leiner","Movie","Released in 2004, Harold and Kumar Go to White Castle is an American feature shaped by Danny Leiner, pairing strong performances with a clear sense of place and pacing.","2004-07-30","English"
"Heartbeat","G.E.M.","Music","Heartbeat (2015) is a recorded project by G.E.M., showcasing melody, production, and performance within the Hong Kong popular-music landscape.","2015-11-06","Mandarin"
"Heaven","Mieko Kawakami","Book","Heaven (2009) is a novel by Mieko Kawakami that weaves personal voice with history, family, and place across its chapters.","2009-09-10","Japanese"
"Heneral Luna","Jerrold Tarog","Movie","Released in 2015, Heneral Luna is a Filipino feature shaped by Jerrold Tarog, pairing strong performances with a clear sense of place and pacing.","2015-09-09","Filipino"
"HER","Block B","Music","HER (2014), from Block B, collects tracks that highlight tone, arrangement, and era-defining studio choices in South Korean pop and soundtrack culture.","2014-07-24","Korean"
"Hero","Zhang Yimou","Movie","Hero (2002) is a Chinese film directed by Zhang Yimou, balancing character drama with memorable set pieces and tone.","2002-12-19","Mandarin"
"Hold the Girl","Rina Sawayama","Music","Hold the Girl (2022), from Rina Sawayama, collects tracks that highlight tone, arrangement, and era-defining studio choices in British pop and soundtrack culture.","2022-09-16","English"
"Honey and Clover","Chica Umino","Manga","Honey and Clover (2000) is serialized manga by Chica Umino, pairing panel rhythm and dialogue with a strong visual identity rooted in Japanese comics culture.","2000-04-24","Japanese"
"Honkai: Star Rail","miHoYo","Video game","Honkai: Star Rail (2023) is a game by miHoYo, combining systems, world-building, and play feel associated with Chinese studios and design traditions.","2023-04-26","Mandarin / English"
"Hospital Playlist","Shin Won-ho","TV Show","A South Korean show led by Shin Won-ho, Hospital Playlist premiered around 2020 and blends episodic hooks with season-long arcs and production polish.","2020-03-12","Korean"
"House of Flying Daggers","Zhang Yimou","Movie","Released in 2004, House of Flying Daggers is a Chinese feature shaped by Zhang Yimou, pairing strong performances with a clear sense of place and pacing.","2004-05-19","Mandarin"
"How Much of These Hills Is Gold","C Pam Zhang","Book","C Pam Zhang's How Much of These Hills Is Gold (2020) mixes intimate scenes with wider social backdrop, anchored in American and diaspora storytelling traditions.","2020-04-07","English"
"Howls Moving Castle","Hayao Miyazaki","Movie","This 2004 Japanese release, Howls Moving Castle, is helmed by Hayao Miyazaki and sits among standout work from its era for mood, story, and craft.","2004-11-20","Japanese"
"Human Acts","Han Kang","Book","In Human Acts, Han Kang traces characters through memory, migration, and choice; the 2014 publication remains a readable entry point into South Korean letters and ideas.","2014-01-15","Korean"
"I Never Die","G I-DLE","Music","I Never Die (2022) is a recorded project by G I-DLE, showcasing melody, production, and performance within the South Korean popular-music landscape.","2022-03-14","Korean"
"I Saw the Devil","Kim Jee-woon","Movie","Released in 2010, I Saw the Devil is a South Korean feature shaped by Kim Jee-woon, pairing strong performances with a clear sense of place and pacing.","2010-08-12","Korean"
"Ichi the Killer","Takashi Miike","Movie","Ichi the Killer (2001) is a Japanese film by Takashi Miike, following characters through conflict and consequence with a distinctive visual and narrative voice.","2001-12-22","Japanese"
"If I Had Two Wings","Randall Kenan","Book","If I Had Two Wings (2020) is a novel by Randall Kenan that weaves personal voice with history, family, and place across its chapters.","2020-08-25","English"
"If I Had Your Face","Frances Cha","Book","In If I Had Your Face, Frances Cha traces characters through memory, migration, and choice; the 2020 publication remains a readable entry point into South Korean letters and ideas.","2020-04-21","English"
"If You Could See the Sun","Ann Liang","Book","In If You Could See the Sun, Ann Liang traces characters through memory, migration, and choice; the 2022 publication remains a readable entry point into American letters and ideas.","2022-10-11","English"
"If You See Me Dont Say Hi","Neel Patel","Book","If You See Me Dont Say Hi (2018) is a novel by Neel Patel that weaves personal voice with history, family, and place across its chapters.","2018-07-10","English"
"Ilo Ilo","Anthony Chen","Movie","Ilo Ilo (2013) is a Singaporean film by Anthony Chen, following characters through conflict and consequence with a distinctive visual and narrative voice.","2013-08-29","English / Mandarin"
"Immunity","Clairo","Music","Immunity (2019), from Clairo, collects tracks that highlight tone, arrangement, and era-defining studio choices in American pop and soundtrack culture.","2019-08-02","English"
"In the Absence","Yi Seung-Jun","Documentary","In the Absence (2018) is a South Korean documentary by Yi Seung-Jun, focusing on real people and events with an observational, journalistic edge.","2018-09-01","Korean"
"In the Mood for Love","Wong Kar-wai","Movie","In the Mood for Love (2000) is a Hong Kong film by Wong Kar-wai, following characters through conflict and consequence with a distinctive visual and narrative voice.","2000-05-20","Cantonese"
"Indian Matchmaking","Smriti Mundhra","TV Show","Indian Matchmaking (2020 debut) is an American series by Smriti Mundhra, built for long-form storytelling, recurring characters, and serialized stakes.","2020-07-16","English"
"Infernal Affairs","Andrew Lau and Alan Mak","Movie","Released in 2002, Infernal Affairs is a Hong Kong feature shaped from Andrew Lau and Alan Mak, pairing strong performances with a clear sense of place and pacing.","2002-12-12","Cantonese"
"Interior Chinatown","Charles Yu","Book","A novel framed as a screenplay that satirizes Hollywood tropes and asks who gets to be the hero in the American story.","2020-01-28","English"
"Interpreter of Maladies","Jhumpa Lahiri","Book","Jhumpa Lahiri's Interpreter of Maladies (1999) mixes intimate scenes with wider social backdrop, anchored in American and diaspora storytelling traditions.","1999-04-20","English"
"Ip Man","Wilson Yip","Movie","Ip Man (2008) is a Hong Kong film directed by Wilson Yip, balancing character drama with memorable set pieces and tone.","2008-12-12","Cantonese"
"Itaewon Class","Kim Sung-yoon","TV Show","A South Korean show led by Kim Sung-yoon, Itaewon Class premiered around 2020 and blends episodic hooks with season-long arcs and production polish.","2020-01-31","Korean"
"Ive Ive","IVE","Music","Ive Ive (2023), from IVE, collects tracks that highlight tone, arrangement, and era-defining studio choices in South Korean pop and soundtrack culture.","2023-04-10","Korean"
"Jay","Jay Chou","Music","Jay (2000) is a recorded project by Jay Chou, showcasing melody, production, and performance within the Taiwanese popular-music landscape.","2000-11-07","Mandarin"
"Joy Ride","Adele Lim","Movie","Joy Ride (2023) is an American film directed by Adele Lim, balancing character drama with memorable set pieces and tone.","2023-06-23","English"
"Jubilee","Japanese Breakfast","Music","Jubilee (2021), from Japanese Breakfast, collects tracks that highlight tone, arrangement, and era-defining studio choices in American pop and soundtrack culture.","2021-06-04","English"
"Jujutsu Kaisen","Sunghoo Park","Anime","Jujutsu Kaisen (2020) is a Japanese animated series by Sunghoo Park, known for pacing, design, and serialized storytelling that built a wide fan base.","2020-10-03","Japanese"
"Kaaka Muttai","M. Manikandan","Movie","This 2015 Indian release, Kaaka Muttai, is helmed by M. Manikandan and sits among standout work from its era for mood, story, and craft.","2015-06-05","Tamil"
"Kabir Singh","Mithoon, Amaal Mallik, Vishal Mishra, and Sachet-Parampara","Music","Kabir Singh (2019), from Mithoon, Amaal Mallik, Vishal Mishra, and Sachet-Parampara, collects tracks that highlight tone, arrangement, and era-defining studio choices in Indian pop and soundtrack culture.","2019-06-14","Hindi"
"Kafka on the Shore","Haruki Murakami","Book","Kafka on the Shore (2002) is a novel by Haruki Murakami that weaves personal voice with history, family, and place across its chapters.","2002-09-12","Japanese"
"Ki","Ringo Sheena","Music","Ki (1999) is a recorded project by Ringo Sheena, showcasing melody, production, and performance within the Japanese popular-music landscape.","1999-03-30","Japanese"
"Kid Krow","Conan Gray","Music","Kid Krow (2020) is a recorded project by Conan Gray, showcasing melody, production, and performance within the American popular-music landscape.","2020-03-20","English"
"Killing Eve","Phoebe Waller-Bridge","TV Show","Features Sandra Oh in a career-defining lead role that expanded who audiences imagined at the center of a spy thriller.","2018-04-08","English"
"Kim Jiyoung Born 1982","Cho Nam-joo","Book","Cho Nam-joo's Kim Jiyoung Born 1982 (2016) mixes intimate scenes with wider social backdrop, anchored in South Korean and diaspora storytelling traditions.","2016-10-14","Korean"
"Kim's Convenience","Ins Choi","TV Show","A Canadian sitcom about a Korean Canadian family store that balanced warmth and critique before its controversial end.","2016-10-11","English"
"Kingdom","Kim Seong-hun","TV Show","Kingdom (2019 debut) is a South Korean series by Kim Seong-hun, built for long-form storytelling, recurring characters, and serialized stakes.","2019-01-25","Korean"
"Kitchen","Banana Yoshimoto","Book","Kitchen (1988) is a novel by Banana Yoshimoto that weaves personal voice with history, family, and place across its chapters.","1988-01-30","Japanese"
"Kota Factory","Raghav Subbu","TV Show","Kota Factory (2019 debut) is an Indian series by Raghav Subbu, built for long-form storytelling, recurring characters, and serialized stakes.","2019-04-16","Hindi"
"Kumbalangi Nights","Madhu C. Narayanan","Movie","Kumbalangi Nights (2019) is an Indian film by Madhu C. Narayanan, following characters through conflict and consequence with a distinctive visual and narrative voice.","2019-02-07","Malayalam"
"Kung Fu Hustle","Stephen Chow","Movie","Kung Fu Hustle (2004) is a Hong Kong film directed by Stephen Chow, balancing character drama with memorable set pieces and tone.","2004-12-23","Cantonese"
"Lagaan","Ashutosh Gowariker","Movie","This 2001 Indian release, Lagaan, is helmed by Ashutosh Gowariker and sits among standout work from its era for mood, story, and craft.","2001-06-15","Hindi"
"Land of Big Numbers","Te-Ping Chen","Book","In Land of Big Numbers, Te-Ping Chen traces characters through memory, migration, and choice; the 2021 publication remains a readable entry point into American letters and ideas.","2021-02-02","English"
"Last Men in Aleppo","Firas Fayyad","Documentary","Last Men in Aleppo (2017) is a Syrian documentary by Firas Fayyad, focusing on real people and events with an observational, journalistic edge.","2017-01-23","Arabic"
"Last Night at the Telegraph Club","Malinda Lo","Book","In Last Night at the Telegraph Club, Malinda Lo traces characters through memory, migration, and choice; the 2021 publication remains a readable entry point into American letters and ideas.","2021-01-19","English"
"Laurel Hell","Mitski","Music","Laurel Hell (2022) is a recorded project by Mitski, showcasing melody, production, and performance within the American popular-music landscape.","2022-02-04","English"
"Lemon","Kenshi Yonezu","Music","Lemon (2018) is a recorded project by Kenshi Yonezu, showcasing melody, production, and performance within the Japanese popular-music landscape.","2018-03-14","Japanese"
"Life in a Metro","Pritam","Music","Life in a Metro (2007), from Pritam, collects tracks that highlight tone, arrangement, and era-defining studio choices in Indian pop and soundtrack culture.","2007-05-11","Hindi"
"Like Father Like Son","Hirokazu Kore-eda","Movie","Like Father Like Son (2013) is a Japanese film by Hirokazu Kore-eda, following characters through conflict and consequence with a distinctive visual and narrative voice.","2013-09-28","Japanese"
"Lilac","IU","Music","Lilac (2021) is a recorded project by IU, showcasing melody, production, and performance within the South Korean popular-music landscape.","2021-03-25","Korean"
"Lingua Franca","Isabel Sandoval","Movie","Lingua Franca (2020) is an American film by Isabel Sandoval, following characters through conflict and consequence with a distinctive visual and narrative voice.","2020-08-26","English / Tagalog"
"Little Things","Dhruv Sehgal","TV Show","Little Things follows an ensemble through shifting relationships and plot turns; by Dhruv Sehgal, it represents a notable Indian entry in contemporary TV.","2016-10-25","English / Hindi"
"Long Distance","Paola Mardo","Podcast","Long Distance is a show by Paola Mardo, mixing interviews, commentary, and stories aimed at listeners curious about culture, identity, and community.","2017-01-01","English"
"Love Exposure","Sion Sono","Movie","Love Exposure (2008) is a Japanese film by Sion Sono, following characters through conflict and consequence with a distinctive visual and narrative voice.","2008-11-29","Japanese"
"Made in Abyss","Masayuki Kojima","Anime","This Japanese anime from 2017, Made in Abyss, is associated with Masayuki Kojima and mixes action, emotion, and distinctive art direction.","2017-07-07","Japanese"
"Made in Heaven","Zoya Akhtar","TV Show","An Indian show led by Zoya Akhtar, Made in Heaven premiered around 2019 and blends episodic hooks with season-long arcs and production polish.","2019-03-08","Hindi / English"
"Map of the Soul: 7","BTS","Music","Map of the Soul: 7 (2020) is a recorded project by BTS, showcasing melody, production, and performance within the South Korean popular-music landscape.","2020-02-21","Korean / English"
"March Comes in Like a Lion","Akiyuki Shinbo","Anime","This Japanese anime from 2016, March Comes in Like a Lion, is associated with Akiyuki Shinbo and mixes action, emotion, and distinctive art direction.","2016-10-08","Japanese"
"March Story","Hyung Min Kim","Manga","March Story (2007) is serialized manga by Hyung Min Kim, pairing panel rhythm and dialogue with a strong visual identity rooted in South Korean comics culture.","2007-01-01","Korean"
"Memories of Murder","Bong Joon-ho","Movie","Memories of Murder (2003) is a South Korean film by Bong Joon-ho, following characters through conflict and consequence with a distinctive visual and narrative voice.","2003-05-02","Korean"
"Metal Gear Solid","Hideo Kojima","Video game","Metal Gear Solid (1998) is a game by Hideo Kojima, combining systems, world-building, and play feel associated with Japanese studios and design traditions.","1998-09-03","English / Japanese"
"Meteor Garden","Cai Yue Xun","TV Show","Meteor Garden (2018 debut) is a Chinese series by Cai Yue Xun, built for long-form storytelling, recurring characters, and serialized stakes.","2018-07-09","Mandarin"
"Metro Manila","Sean Ellis","Movie","Metro Manila (2013) is a Filipino film directed by Sean Ellis, balancing character drama with memorable set pieces and tone.","2013-07-20","Tagalog"
"Midnight Diner: Tokyo Stories","Yaro Abe and Joji Matsuoka","TV Show","A Japanese show led from Yaro Abe and Joji Matsuoka, Midnight Diner: Tokyo Stories premiered around 2016 and blends episodic hooks with season-long arcs and production polish.","2016-10-21","Japanese"
"Midnight's Children","Salman Rushdie","Book","In Midnight's Children, Salman Rushdie traces characters through memory, migration, and choice; the 1981 publication remains a readable entry point into British letters and ideas.","1981-04-18","English"
"Millennium Actress","Satoshi Kon","Movie","This 2001 Japanese release, Millennium Actress, is helmed by Satoshi Kon and sits among standout work from its era for mood, story, and craft.","2001-09-14","Japanese"
"Minari","Lee Isaac Chung","Movie","A tender film about a Korean American family chasing a farm dream in rural Arkansas and the cost of belonging.","2020-01-26","Korean / English"
"Minding the Gap","Bing Liu","Documentary","Minding the Gap (2018) is an American documentary by Bing Liu, focusing on real people and events with an observational, journalistic edge.","2018-08-17","English"
"Minor Feelings","Cathy Park Hong","Book","Essays on racialized consciousness art and the pressure to perform gratitude when your country questions your belonging.","2020-02-25","English"
"Miracle in Cell No. 7","Lee Hwan-kyung","Movie","Miracle in Cell No. 7 (2013) is a South Korean film by Lee Hwan-kyung, following characters through conflict and consequence with a distinctive visual and narrative voice.","2013-01-23","Korean"
"Mirai","Mamoru Hosoda","Movie","Mirai (2018) is a Japanese film by Mamoru Hosoda, following characters through conflict and consequence with a distinctive visual and narrative voice.","2018-07-20","Japanese"
"Mismatched","Akarsh Khurana","TV Show","Mismatched (2020 debut) is an Indian series by Akarsh Khurana, built for long-form storytelling, recurring characters, and serialized stakes.","2020-11-20","Hindi / English"
"Mississippi Masala","Mira Nair","Movie","Mississippi Masala (1991) is an American film directed by Mira Nair, balancing character drama with memorable set pieces and tone.","1991-09-18","English"
"Mob Psycho 100","Yuzuru Tachikawa","Anime","Mob Psycho 100 (2016) is a Japanese animated series by Yuzuru Tachikawa, known for pacing, design, and serialized storytelling that built a wide fan base.","2016-07-12","Japanese"
"Mohenjo Daro","A. R. Rahman","Music","Mohenjo Daro (2016), from A. R. Rahman, collects tracks that highlight tone, arrangement, and era-defining studio choices in Indian pop and soundtrack culture.","2016-08-12","Hindi"
"Monsoon Wedding","Mira Nair","Movie","Released in 2001, Monsoon Wedding is an Indian feature shaped by Mira Nair, pairing strong performances with a clear sense of place and pacing.","2001-12-30","Hindi / English"
"Monster","Masayuki Kojima","Anime","This Japanese anime from 2004, Monster, is associated with Masayuki Kojima and mixes action, emotion, and distinctive art direction.","2004-04-07","Japanese"
"Monstress","Marjorie Liu","Graphic novel","Monstress (2015) is a graphic novel by Marjorie Liu, pairing panel rhythm and dialogue with a strong visual identity rooted in American comics culture.","2015-11-04","English"
"Mother","Bong Joon-ho","Movie","Mother (2009) is a South Korean film directed by Bong Joon-ho, balancing character drama with memorable set pieces and tone.","2009-05-28","Korean"
"Ms Marvel","Marvel Studios","TV Show","Centers a Pakistani American teen in Jersey City and weaves partition history with superhero coming-of-age.","2022-06-08","English"
"Mumbai Diaries 26/11","Nikkhil Advani","TV Show","An Indian show led by Nikkhil Advani, Mumbai Diaries 26/11 premiered around 2021 and blends episodic hooks with season-long arcs and production polish.","2021-09-09","Hindi / English"
"MUSE","Jolin Tsai","Music","MUSE (2012) is a recorded project by Jolin Tsai, showcasing melody, production, and performance within the Taiwanese popular-music landscape.","2012-09-14","Mandarin"
"Mushishi","Hiroshi Nagahama","Anime","Mushishi (2005) is a Japanese animated series by Hiroshi Nagahama, known for pacing, design, and serialized storytelling that built a wide fan base.","2005-10-23","Japanese"
"My Hero Academia","Kenji Nagasaki","Anime","This Japanese anime from 2016, My Hero Academia, is associated with Kenji Nagasaki and mixes action, emotion, and distinctive art direction.","2016-04-03","Japanese"
"My Love Story!!","Kazune Kawahara","Manga","My Love Story!! (2011) is serialized manga by Kazune Kawahara, pairing panel rhythm and dialogue with a strong visual identity rooted in Japanese comics culture.","2011-10-13","Japanese"
"My Mister","Kim Won-seok","TV Show","A South Korean show led by Kim Won-seok, My Mister premiered around 2018 and blends episodic hooks with season-long arcs and production polish.","2018-03-21","Korean"
"Nana","Morio Asaka","Anime","This Japanese anime from 2006, Nana, is associated with Morio Asaka and mixes action, emotion, and distinctive art direction.","2006-04-05","Japanese"
"Nana","Ai Yazawa","Manga","Nana (2000) is serialized manga by Ai Yazawa, pairing panel rhythm and dialogue with a strong visual identity rooted in Japanese comics culture.","2000-05-26","Japanese"
"Naruto","Masashi Kishimoto","Anime","Naruto (2002) is a Japanese animated series by Masashi Kishimoto, known for pacing, design, and serialized storytelling that built a wide fan base.","2002-10-03","Japanese"
"Neon Genesis Evangelion","Hideaki Anno","Anime","This Japanese anime from 1995, Neon Genesis Evangelion, is associated with Hideaki Anno and mixes action, emotion, and distinctive art direction.","1995-10-04","Japanese"
"Never Have I Ever","Mindy Kaling","TV Show","Never Have I Ever (2020 debut) is an American series by Mindy Kaling, built for long-form storytelling, recurring characters, and serialized stakes.","2020-04-27","English"
"New World","Park Hoon-jung","Movie","New World (2013) is a South Korean film by Park Hoon-jung, following characters through conflict and consequence with a distinctive visual and narrative voice.","2013-02-21","Korean"
"NewJeans","NewJeans","Music","NewJeans (2022), from NewJeans, collects tracks that highlight tone, arrangement, and era-defining studio choices in South Korean pop and soundtrack culture.","2022-08-01","Korean"
"Nier: Automata","Yoko Taro","Video game","Nier: Automata (2017) is a game by Yoko Taro, combining systems, world-building, and play feel associated with Japanese studios and design traditions.","2017-02-23","Japanese"
"Nirvana in Fire","Kong Sheng","TV Show","A Chinese show led by Kong Sheng, Nirvana in Fire premiered around 2015 and blends episodic hooks with season-long arcs and production polish.","2015-09-19","Mandarin"
"No Longer Human","Osamu Dazai","Book","In No Longer Human, Osamu Dazai traces characters through memory, migration, and choice; the 1948 publication remains a readable entry point into Japanese letters and ideas.","1948-07-25","Japanese"
"Nobody Knows","Hirokazu Kore-eda","Movie","Released in 2004, Nobody Knows is a Japanese feature shaped by Hirokazu Kore-eda, pairing strong performances with a clear sense of place and pacing.","2004-08-07","Japanese"
"Noeasy","Stray Kids","Music","Noeasy (2021) is a recorded project by Stray Kids, showcasing melody, production, and performance within the South Korean popular-music landscape.","2021-08-23","Korean"
"Norte the End of History","Lav Diaz","Movie","Released in 2013, Norte the End of History is a Filipino feature shaped by Lav Diaz, pairing strong performances with a clear sense of place and pacing.","2013-11-07","Filipino"
"Norwegian Wood","Haruki Murakami","Book","Haruki Murakami's Norwegian Wood (1987) mixes intimate scenes with wider social backdrop, anchored in Japanese and diaspora storytelling traditions.","1987-09-04","Japanese"
"Odd Eye Circle","Odd Eye Circle","Music","Odd Eye Circle (2017), from Odd Eye Circle, collects tracks that highlight tone, arrangement, and era-defining studio choices in South Korean pop and soundtrack culture.","2017-09-21","Korean"
"Ode to My Father","Yoon Je-kyoon","Movie","Released in 2014, Ode to My Father is a South Korean feature shaped by Yoon Je-kyoon, pairing strong performances with a clear sense of place and pacing.","2014-12-17","Korean"
"Of Fathers and Sons","Talal Derki","Documentary","Of Fathers and Sons (2017) is a Syrian documentary by Talal Derki, focusing on real people and events with an observational, journalistic edge.","2017-11-03","Arabic"
"Oldboy","Park Chan-wook","Movie","Released in 2003, Oldboy is a South Korean feature shaped by Park Chan-wook, pairing strong performances with a clear sense of place and pacing.","2003-11-21","Korean"
"Omniscient Reader","Sing Shong","Web novel","Omniscient Reader is an online serial by Sing Shong, written for chapter-by-chapter reading and fan engagement; it sits in the South Korean web-fiction ecosystem.","2018-01-06","Korean"
"On Earth Were Briefly Gorgeous","Ocean Vuong","Book","Ocean Vuong's On Earth Were Briefly Gorgeous (2019) mixes intimate scenes with wider social backdrop, anchored in American and diaspora storytelling traditions.","2019-06-04","English"
"On the Job","Erik Matti","Movie","On the Job (2013) is a Filipino film by Erik Matti, following characters through conflict and consequence with a distinctive visual and narrative voice.","2013-05-12","Filipino"
"One Piece","Eiichiro Oda","Anime","One Piece (1999) is a Japanese animated series by Eiichiro Oda, known for pacing, design, and serialized storytelling that built a wide fan base.","1999-10-20","Japanese"
"Ong-Bak","Prachya Pinkaew","Movie","Released in 2003, Ong-Bak is a Thai feature shaped by Prachya Pinkaew, pairing strong performances with a clear sense of place and pacing.","2003-01-21","Thai"
"Organ Meats","K-Ming Chang","Book","K-Ming Chang's Organ Meats (2023) mixes intimate scenes with wider social backdrop, anchored in American and diaspora storytelling traditions.","2023-05-02","English"
"Oshi no Ko","Daisuke Hiramaki","Anime","Oshi no Ko (2023) is a Japanese animated series by Daisuke Hiramaki, known for pacing, design, and serialized storytelling that built a wide fan base.","2023-04-12","Japanese"
"Our Little Sister","Hirokazu Kore-eda","Movie","Our Little Sister (2015) is a Japanese film directed by Hirokazu Kore-eda, balancing character drama with memorable set pieces and tone.","2015-06-13","Japanese"
"Ouran High School Host Club","Bisco Hatori","Manga","Ouran High School Host Club (2002) is serialized manga by Bisco Hatori, pairing panel rhythm and dialogue with a strong visual identity rooted in Japanese comics culture.","2002-09-24","Japanese"
"Out","Natsuo Kirino","Book","Natsuo Kirino's Out (1997) mixes intimate scenes with wider social backdrop, anchored in Japanese and diaspora storytelling traditions.","1997-08-05","Japanese"
"Paatal Lok","Avinash Arun","TV Show","Paatal Lok (2020 debut) is an Indian series by Avinash Arun, built for long-form storytelling, recurring characters, and serialized stakes.","2020-05-15","Hindi"
"Pachinko","Min Jin Lee","Book","An epic following a Korean family across Japan and America tracing survival love and the weight of history across the twentieth century.","2017-02-07","English"
"Pachinko","Kogonada","TV Show","Pachinko follows an ensemble through shifting relationships and plot turns; by Kogonada, it represents a notable American entry in contemporary TV.","2022-03-25","Korean / English"
"Palette","IU","Music","Palette (2017) is a recorded project by IU, showcasing melody, production, and performance within the South Korean popular-music landscape.","2017-04-21","Korean"
"Panchayat","Deepak Kumar Mishra","TV Show","Panchayat (2020 debut) is an Indian series by Deepak Kumar Mishra, built for long-form storytelling, recurring characters, and serialized stakes.","2020-04-03","Hindi"
"Paprika","Satoshi Kon","Movie","Paprika (2006) is a Japanese film by Satoshi Kon, following characters through conflict and consequence with a distinctive visual and narrative voice.","2006-11-25","Japanese"
"Paradise Kiss","Ai Yazawa","Manga","Paradise Kiss (1999) is serialized manga by Ai Yazawa, pairing panel rhythm and dialogue with a strong visual identity rooted in Japanese comics culture.","1999-03-24","Japanese"
"Paranoia Agent","Satoshi Kon","Anime","This Japanese anime from 2004, Paranoia Agent, is associated with Satoshi Kon and mixes action, emotion, and distinctive art direction.","2004-02-03","Japanese"
"Past Lives","Celine Song","Movie","Released in 2023, Past Lives is an American feature shaped by Celine Song, pairing strong performances with a clear sense of place and pacing.","2023-06-02","English / Korean"
"Pather Panchali","Satyajit Ray","Movie","Pather Panchali (1955) is an Indian film directed by Satyajit Ray, balancing character drama with memorable set pieces and tone.","1955-08-26","Bengali"
"Patron Saints of Nothing","Randy Ribay","Book","Patron Saints of Nothing (2019) is a novel by Randy Ribay that weaves personal voice with history, family, and place across its chapters.","2019-06-18","English"
"PEN15","Maya Erskine","TV Show","PEN15 (2019 debut) is an American series by Maya Erskine, built for long-form storytelling, recurring characters, and serialized stakes.","2019-02-08","English"
"Peninsula","Yeon Sang-ho","Movie","Peninsula (2020) is a South Korean film by Yeon Sang-ho, following characters through conflict and consequence with a distinctive visual and narrative voice.","2020-07-15","Korean"
"Perfect Blue","Satoshi Kon","Movie","This 1998 Japanese release, Perfect Blue, is helmed by Satoshi Kon and sits among standout work from its era for mood, story, and craft.","1998-02-28","Japanese"
"Persepolis","Marjane Satrapi","Graphic novel","Persepolis (2000) is a graphic novel by Marjane Satrapi, pairing panel rhythm and dialogue with a strong visual identity rooted in Iranian comics culture.","2000-01-01","French / Persian"
"Persona 5","Atlus","Video game","Persona 5 (2016) is a game by Atlus, combining systems, world-building, and play feel associated with Japanese studios and design traditions.","2016-09-15","Japanese"
"Ping Pong","Taiyo Matsumoto","Manga","Ping Pong (1996) is serialized manga by Taiyo Matsumoto, pairing panel rhythm and dialogue with a strong visual identity rooted in Japanese comics culture.","1996-01-01","Japanese"
"Pink Tape","f(x)","Music","Pink Tape (2013) is a recorded project by f(x), showcasing melody, production, and performance within the South Korean popular-music landscape.","2013-07-29","Korean"
