"title","creator","type","description","release_date","language"
"Heneral Luna","Jerrold Tarog","Movie","Heneral Luna offers a memorable entry point into Philippines media histories inviting discussion of language genre conventions and transnational audiences.","2015-09-09","Filipino"
"HER","Block B","Music","HER is a widely taught music from South Korea that helps audiences compare how family migration and power show up on screen and in everyday life.","2014-07-24","Korean"
"Hero","Zhang Yimou","Movie","Classrooms and film clubs often return to Hero when discussing China storytelling traditions diaspora voices and the politics of representation.","2002-12-19","Mandarin"
"Hold the Girl","Rina Sawayama","Music","Hold the Girl remains a touchstone in United Kingdom cultural studies for how it stages identity history and community with clarity and emotional precision.","2022-09-16","English"
"Honey and Clover","Chica Umino","Manga","Honey and Clover remains a touchstone in Japan cultural studies for how it stages identity history and community with clarity and emotional precision.","2000-04-24","Japanese"
"Honkai: Star Rail","miHoYo","Video game","Honkai: Star Rail offers a memorable entry point into China media histories inviting discussion of language genre conventions and transnational audiences.","2023-04-26","Mandarin / English"
"Hospital Playlist","Shin Won-ho","TV Show","Hospital Playlist is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2020-03-12","Korean"
"House of Flying Daggers","Zhang Yimou","Movie","House of Flying Daggers remains a touchstone in China cultural studies for how it stages identity history and community with clarity and emotional precision.","2004-05-19","Mandarin"
"How Much of These Hills Is Gold","C Pam Zhang","Book","Classrooms and film clubs often return to How Much of These Hills Is Gold when discussing United States storytelling traditions diaspora voices and the politics of representation.","2020-04-07","English"
"Howls Moving Castle","Hayao Miyazaki","Movie","Howls Moving Castle remains a touchstone in Japan cultural studies for how it stages identity history and community with clarity and emotional precision.","2004-11-20","Japanese"
"Human Acts","Han Kang","Book","Human Acts is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2014-01-15","Korean"
"I Never Die","G I-DLE","Music","I Never Die is a widely taught music from South Korea that helps audiences compare how family migration and power show up on screen and in everyday life.","2022-03-14","Korean"
"I Saw the Devil","Kim Jee-woon","Movie","I Saw the Devil offers a memorable entry point into South Korea media histories inviting discussion of language genre conventions and transnational audiences.","2010-08-12","Korean"
"Ichi the Killer","Takashi Miike","Movie","Ichi the Killer remains a touchstone in Japan cultural studies for how it stages identity history and community with clarity and emotional precision.","2001-12-22","Japanese"
"If I Had Two Wings","Randall Kenan","Book","Scholars and community educators cite If I Had Two Wings when mapping how United States creators experiment with form while staying rooted in lived experience.","2020-08-25","English"
"If I Had Your Face","Frances Cha","Book","This book from South Korea continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2020-04-21","English"
"If You Could See the Sun","Ann Liang","Book","Scholars and community educators cite If You Could See the Sun when mapping how United States creators experiment with form while staying rooted in lived experience.","2022-10-11","English"
"If You See Me Dont Say Hi","Neel Patel","Book","If You See Me Dont Say Hi helps audiences practice close attention to nuance in United States narratives where humor grief and resilience often share the same scene.","2018-07-10","English"
"Ilo Ilo","Anthony Chen","Movie","Ilo Ilo is a widely taught movie from Singapore that helps audiences compare how family migration and power show up on screen and in everyday life.","2013-08-29","English / Mandarin"
"Immunity","Clairo","Music","Immunity remains a touchstone in United States cultural studies for how it stages identity history and community with clarity and emotional precision.","2019-08-02","English"
"In the Absence","Yi Seung-Jun","Documentary","Scholars and community educators cite In the Absence when mapping how South Korea creators experiment with form while staying rooted in lived experience.","2018-09-01","Korean"
"In the Mood for Love","Wong Kar-wai","Movie","In the Mood for Love is a widely taught movie from Hong Kong that helps audiences compare how family migration and power show up on screen and in everyday life.","2000-05-20","Cantonese"
"Indian Matchmaking","Smriti Mundhra","TV Show","This tv show from United States continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2020-07-16","English"
"Infernal Affairs","Andrew Lau and Alan Mak","Movie","Infernal Affairs offers a memorable entry point into Hong Kong media histories inviting discussion of language genre conventions and transnational audiences.","2002-12-12","Cantonese"
"Interior Chinatown","Charles Yu","Book","A novel framed as a screenplay that satirizes Hollywood tropes and asks who gets to be the hero in the American story.","2020-01-28","English"
"Interpreter of Maladies","Jhumpa Lahiri","Book","Interpreter of Maladies is a widely taught book from United States that helps audiences compare how family migration and power show up on screen and in everyday life.","1999-04-20","English"
"Ip Man","Wilson Yip","Movie","Ip Man remains a touchstone in Hong Kong cultural studies for how it stages identity history and community with clarity and emotional precision.","2008-12-12","Cantonese"
"Itaewon Class","Kim Sung-yoon","TV Show","This tv show from South Korea continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2020-01-31","Korean"
"Ive Ive","IVE","Music","Ive Ive is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2023-04-10","Korean"
"Jay","Jay Chou","Music","Jay is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2000-11-07","Mandarin"
"Joy Ride","Adele Lim","Movie","This movie from United States continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2023-06-23","English"
"Jubilee","Japanese Breakfast","Music","Jubilee is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2021-06-04","English"
"Jujutsu Kaisen","Sunghoo Park","Anime","Jujutsu Kaisen offers a memorable entry point into Japan media histories inviting discussion of language genre conventions and transnational audiences.","2020-10-03","Japanese"
"Kaaka Muttai","M. Manikandan","Movie","Kaaka Muttai remains a touchstone in India cultural studies for how it stages identity history and community with clarity and emotional precision.","2015-06-05","Tamil"
"Kabir Singh","Various","Music","Kabir Singh helps audiences practice close attention to nuance in India narratives where humor grief and resilience often share the same scene.","2019-06-14","Hindi"
"Kafka on the Shore","Haruki Murakami","Book","Kafka on the Shore is a widely taught book from Japan that helps audiences compare how family migration and power show up on screen and in everyday life.","2002-09-12","Japanese"
"Ki","Ringo Sheena","Music","Ki helps audiences practice close attention to nuance in Japan narratives where humor grief and resilience often share the same scene.","1999-03-30","Japanese"
"Kid Krow","Conan Gray","Music","This music from United States continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2020-03-20","English"
"Killing Eve","Phoebe Waller-Bridge","TV Show","Features Sandra Oh in a career-defining lead role that expanded who audiences imagined at the center of a spy thriller.","2018-04-08","English"
"Kim Jiyoung Born 1982","Cho Nam-joo","Book","Classrooms and film clubs often return to Kim Jiyoung Born 1982 when discussing South Korea storytelling traditions diaspora voices and the politics of representation.","2016-10-14","Korean"
"Kim's Convenience","Ins Choi","TV Show","A Canadian sitcom about a Korean Canadian family store that balanced warmth and critique before its controversial end.","2016-10-11","English"
"Kingdom","Kim Seong-hun","TV Show","Kingdom is a widely taught tv show from South Korea that helps audiences compare how family migration and power show up on screen and in everyday life.","2019-01-25","Korean"
"Kitchen","Banana Yoshimoto","Book","Kitchen is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","1988-01-30","Japanese"
"Kota Factory","Raghav Subbu","TV Show","Kota Factory is a widely taught tv show from India that helps audiences compare how family migration and power show up on screen and in everyday life.","2019-04-16","Hindi"
"Kumbalangi Nights","Madhu C. Narayanan","Movie","Classrooms and film clubs often return to Kumbalangi Nights when discussing India storytelling traditions diaspora voices and the politics of representation.","2019-02-07","Malayalam"
"Kung Fu Hustle","Stephen Chow","Movie","Kung Fu Hustle offers a memorable entry point into Hong Kong media histories inviting discussion of language genre conventions and transnational audiences.","2004-12-23","Cantonese"
"Lagaan","Ashutosh Gowariker","Movie","This movie from India continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2001-06-15","Hindi"
"Land of Big Numbers","Te-Ping Chen","Book","Land of Big Numbers helps audiences practice close attention to nuance in United States narratives where humor grief and resilience often share the same scene.","2021-02-02","English"
"Last Men in Aleppo","Firas Fayyad","Documentary","Last Men in Aleppo remains a touchstone in Syria cultural studies for how it stages identity history and community with clarity and emotional precision.","2017-01-23","Arabic"
"Last Night at the Telegraph Club","Malinda Lo","Book","Last Night at the Telegraph Club is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2021-01-19","English"
"Laurel Hell","Mitski","Music","Laurel Hell helps audiences practice close attention to nuance in United States narratives where humor grief and resilience often share the same scene.","2022-02-04","English"
"Lemon","Kenshi Yonezu","Music","Scholars and community educators cite Lemon when mapping how Japan creators experiment with form while staying rooted in lived experience.","2018-03-14","Japanese"
"Life in a Metro","Pritam","Music","Classrooms and film clubs often return to Life in a Metro when discussing India storytelling traditions diaspora voices and the politics of representation.","2007-05-11","Hindi"
"Like Father Like Son","Hirokazu Kore-eda","Movie","This movie from Japan continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2013-09-28","Japanese"
"Lilac","IU","Music","This music from South Korea continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2021-03-25","Korean"
"Lingua Franca","Isabel Sandoval","Movie","Lingua Franca is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2020-08-26","English / Tagalog"
"Little Things","Dhruv Sehgal","TV Show","This tv show from India continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2016-10-25","English / Hindi"
"Long Distance","Paola Mardo","Podcast","Long Distance offers a memorable entry point into United States media histories inviting discussion of language genre conventions and transnational audiences.","2017-01-01","English"
"Love Exposure","Sion Sono","Movie","Love Exposure offers a memorable entry point into Japan media histories inviting discussion of language genre conventions and transnational audiences.","2008-11-29","Japanese"
"Made in Abyss","Masayuki Kojima","Anime","This anime from Japan continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2017-07-07","Japanese"
"Made in Heaven","Zoya Akhtar","TV Show","Made in Heaven is a widely taught tv show from India that helps audiences compare how family migration and power show up on screen and in everyday life.","2019-03-08","Hindi / English"
"Map of the Soul: 7","BTS","Music","Map of the Soul: 7 is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2020-02-21","Korean / English"
"March Comes in Like a Lion","Akiyuki Shinbo","Anime","March Comes in Like a Lion is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2016-10-08","Japanese"
"March Story","Hyung Min Kim","Manga","This manga from South Korea continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2007-01-01","Korean"
"Memories of Murder","Bong Joon-ho","Movie","Memories of Murder remains a touchstone in South Korea cultural studies for how it stages identity history and community with clarity and emotional precision.","2003-05-02","Korean"
"Metal Gear Solid","Hideo Kojima","Video game","Classrooms and film clubs often return to Metal Gear Solid when discussing Japan storytelling traditions diaspora voices and the politics of representation.","1998-09-03","English / Japanese"
"Meteor Garden","Cai Yue Xun","TV Show","Scholars and community educators cite Meteor Garden when mapping how China creators experiment with form while staying rooted in lived experience.","2018-07-09","Mandarin"
"Metro Manila","Sean Ellis","Movie","Metro Manila offers a memorable entry point into Philippines media histories inviting discussion of language genre conventions and transnational audiences.","2013-07-20","Tagalog"
"Midnight Diner: Tokyo Stories","Various","TV Show","Classrooms and film clubs often return to Midnight Diner: Tokyo Stories when discussing Japan storytelling traditions diaspora voices and the politics of representation.","2016-10-21","Japanese"
"Midnight's Children","Salman Rushdie","Book","This book from United Kingdom continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","1981-04-18","English"
"Millennium Actress","Satoshi Kon","Movie","Millennium Actress offers a memorable entry point into Japan media histories inviting discussion of language genre conventions and transnational audiences.","2001-09-14","Japanese"
"Minari","Lee Isaac Chung","Movie","A tender film about a Korean American family chasing a farm dream in rural Arkansas and the cost of belonging.","2020-01-26","Korean / English"
"Minding the Gap","Bing Liu","Documentary","Scholars and community educators cite Minding the Gap when mapping how United States creators experiment with form while staying rooted in lived experience.","2018-08-17","English"
"Minor Feelings","Cathy Park Hong","Book","Essays on racialized consciousness art and the pressure to perform gratitude when your country questions your belonging.","2020-02-25","English"
"Miracle in Cell No. 7","Lee Hwan-kyung","Movie","Classrooms and film clubs often return to Miracle in Cell No. 7 when discussing South Korea storytelling traditions diaspora voices and the politics of representation.","2013-01-23","Korean"
"Mirai","Mamoru Hosoda","Movie","Classrooms and film clubs often return to Mirai when discussing Japan storytelling traditions diaspora voices and the politics of representation.","2018-07-20","Japanese"
"Mismatched","Akarsh Khurana","TV Show","Scholars and community educators cite Mismatched when mapping how India creators experiment with form while staying rooted in lived experience.","2020-11-20","Hindi / English"
"Mississippi Masala","Mira Nair","Movie","Classrooms and film clubs often return to Mississippi Masala when discussing United States storytelling traditions diaspora voices and the politics of representation.","1991-09-18","English"
"Mob Psycho 100","Yuzuru Tachikawa","Anime","Mob Psycho 100 helps audiences practice close attention to nuance in Japan narratives where humor grief and resilience often share the same scene.","2016-07-12","Japanese"
"Mohenjo Daro","A. R. Rahman","Music","Mohenjo Daro remains a touchstone in India cultural studies for how it stages identity history and community with clarity and emotional precision.","2016-08-12","Hindi"
"Monsoon Wedding","Mira Nair","Movie","Monsoon Wedding offers a memorable entry point into India media histories inviting discussion of language genre conventions and transnational audiences.","2001-12-30","Hindi / English"
"Monster","Masayuki Kojima","Anime","Classrooms and film clubs often return to Monster when discussing Japan storytelling traditions diaspora voices and the politics of representation.","2004-04-07","Japanese"
"Monstress","Marjorie Liu","Graphic novel","This graphic novel from United States continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2015-11-04","English"
"Mother","Bong Joon-ho","Movie","Mother offers a memorable entry point into South Korea media histories inviting discussion of language genre conventions and transnational audiences.","2009-05-28","Korean"
"Ms Marvel","Marvel Studios","TV Show","Centers a Pakistani American teen in Jersey City and weaves partition history with superhero coming-of-age.","2022-06-08","English"
"Mumbai Diaries 26/11","Nikkhil Advani","TV Show","Classrooms and film clubs often return to Mumbai Diaries 26/11 when discussing India storytelling traditions diaspora voices and the politics of representation.","2021-09-09","Hindi / English"
"MUSE","Jolin Tsai","Music","MUSE is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2012-09-14","Mandarin"
"Mushishi","Hiroshi Nagahama","Anime","This anime from Japan continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2005-10-23","Japanese"
"My Hero Academia","Kenji Nagasaki","Anime","My Hero Academia is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2016-04-03","Japanese"
"My Love Story!!","Kazune Kawahara","Manga","My Love Story!! helps audiences practice close attention to nuance in Japan narratives where humor grief and resilience often share the same scene.","2011-10-13","Japanese"
"My Mister","Kim Won-seok","TV Show","My Mister offers a memorable entry point into South Korea media histories inviting discussion of language genre conventions and transnational audiences.","2018-03-21","Korean"
"Nana","Morio Asaka","Anime","Classrooms and film clubs often return to Nana when discussing Japan storytelling traditions diaspora voices and the politics of representation.","2006-04-05","Japanese"
"Nana","Ai Yazawa","Manga","Classrooms and film clubs often return to Nana when discussing Japan storytelling traditions diaspora voices and the politics of representation.","2000-05-26","Japanese"
"Naruto","Masashi Kishimoto","Anime","Naruto offers a memorable entry point into Japan media histories inviting discussion of language genre conventions and transnational audiences.","2002-10-03","Japanese"
"Neon Genesis Evangelion","Hideaki Anno","Anime","Classrooms and film clubs often return to Neon Genesis Evangelion when discussing Japan storytelling traditions diaspora voices and the politics of representation.","1995-10-04","Japanese"
"Never Have I Ever","Mindy Kaling","TV Show","Scholars and community educators cite Never Have I Ever when mapping how United States creators experiment with form while staying rooted in lived experience.","2020-04-27","English"
"New World","Park Hoon-jung","Movie","Classrooms and film clubs often return to New World when discussing South Korea storytelling traditions diaspora voices and the politics of representation.","2013-02-21","Korean"
"NewJeans","NewJeans","Music","Scholars and community educators cite NewJeans when mapping how South Korea creators experiment with form while staying rooted in lived experience.","2022-08-01","Korean"
"Nier: Automata","Yoko Taro","Video game","Nier: Automata offers a memorable entry point into Japan media histories inviting discussion of language genre conventions and transnational audiences.","2017-02-23","Japanese"
"Nirvana in Fire","Kong Sheng","TV Show","Nirvana in Fire offers a memorable entry point into China media histories inviting discussion of language genre conventions and transnational audiences.","2015-09-19","Mandarin"
"No Longer Human","Osamu Dazai","Book","Scholars and community educators cite No Longer Human when mapping how Japan creators experiment with form while staying rooted in lived experience.","1948-07-25","Japanese"
"Nobody Knows","Hirokazu Kore-eda","Movie","Nobody Knows offers a memorable entry point into Japan media histories inviting discussion of language genre conventions and transnational audiences.","2004-08-07","Japanese"
"Noeasy","Stray Kids","Music","Scholars and community educators cite Noeasy when mapping how South Korea creators experiment with form while staying rooted in lived experience.","2021-08-23","Korean"
"Norte the End of History","Lav Diaz","Movie","Norte the End of History offers a memorable entry point into Philippines media histories inviting discussion of language genre conventions and transnational audiences.","2013-11-07","Filipino"
"Norwegian Wood","Haruki Murakami","Book","Norwegian Wood is a widely taught book from Japan that helps audiences compare how family migration and power show up on screen and in everyday life.","1987-09-04","Japanese"
"Odd Eye Circle","Odd Eye Circle","Music","Odd Eye Circle is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2017-09-21","Korean"
"Ode to My Father","Yoon Je-kyoon","Movie","Ode to My Father offers a memorable entry point into South Korea media histories inviting discussion of language genre conventions and transnational audiences.","2014-12-17","Korean"
"Of Fathers and Sons","Talal Derki","Documentary","Of Fathers and Sons helps audiences practice close attention to nuance in Syria narratives where humor grief and resilience often share the same scene.","2017-11-03","Arabic"
"Oldboy","Park Chan-wook","Movie","Oldboy offers a memorable entry point into South Korea media histories inviting discussion of language genre conventions and transnational audiences.","2003-11-21","Korean"
"Omniscient Reader","Sing Shong","Web novel","Omniscient Reader is a widely taught web novel from South Korea that helps audiences compare how family migration and power show up on screen and in everyday life.","2018-01-06","Korean"
"On Earth Were Briefly Gorgeous","Ocean Vuong","Book","On Earth Were Briefly Gorgeous remains a touchstone in United States cultural studies for how it stages identity history and community with clarity and emotional precision.","2019-06-04","English"
"On the Job","Erik Matti","Movie","On the Job offers a memorable entry point into Philippines media histories inviting discussion of language genre conventions and transnational audiences.","2013-05-12","Filipino"
"One Piece","Eiichiro Oda","Anime","One Piece is a widely taught anime from Japan that helps audiences compare how family migration and power show up on screen and in everyday life.","1999-10-20","Japanese"
"Ong-Bak","Prachya Pinkaew","Movie","Ong-Bak remains a touchstone in Thailand cultural studies for how it stages identity history and community with clarity and emotional precision.","2003-01-21","Thai"
"Organ Meats","K-Ming Chang","Book","Classrooms and film clubs often return to Organ Meats when discussing United States storytelling traditions diaspora voices and the politics of representation.","2023-05-02","English"
"Oshi no Ko","Daisuke Hiramaki","Anime","This anime from Japan continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2023-04-12","Japanese"
"Our Little Sister","Hirokazu Kore-eda","Movie","Classrooms and film clubs often return to Our Little Sister when discussing Japan storytelling traditions diaspora voices and the politics of representation.","2015-06-13","Japanese"
"Ouran High School Host Club","Bisco Hatori","Manga","Ouran High School Host Club is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2002-09-24","Japanese"
"Out","Natsuo Kirino","Book","Out helps audiences practice close attention to nuance in Japan narratives where humor grief and resilience often share the same scene.","1997-08-05","Japanese"
"Paatal Lok","Avinash Arun","TV Show","This tv show from India continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2020-05-15","Hindi"
"Pachinko","Min Jin Lee","Book","An epic following a Korean family across Japan and America tracing survival love and the weight of history across the twentieth century.","2017-02-07","English"
"Pachinko","Kogonada","TV Show","This tv show from United States continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2022-03-25","Korean / English"
"Palette","IU","Music","Classrooms and film clubs often return to Palette when discussing South Korea storytelling traditions diaspora voices and the politics of representation.","2017-04-21","Korean"
"Panchayat","Deepak Kumar Mishra","TV Show","Scholars and community educators cite Panchayat when mapping how India creators experiment with form while staying rooted in lived experience.","2020-04-03","Hindi"
"Paprika","Satoshi Kon","Movie","This movie from Japan continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2006-11-25","Japanese"
"Paradise Kiss","Ai Yazawa","Manga","Paradise Kiss offers a memorable entry point into Japan media histories inviting discussion of language genre conventions and transnational audiences.","1999-03-24","Japanese"
"Paranoia Agent","Satoshi Kon","Anime","Scholars and community educators cite Paranoia Agent when mapping how Japan creators experiment with form while staying rooted in lived experience.","2004-02-03","Japanese"
"Past Lives","Celine Song","Movie","Past Lives remains a touchstone in United States cultural studies for how it stages identity history and community with clarity and emotional precision.","2023-06-02","English / Korean"
"Pather Panchali","Satyajit Ray","Movie","Classrooms and film clubs often return to Pather Panchali when discussing India storytelling traditions diaspora voices and the politics of representation.","1955-08-26","Bengali"
"Patron Saints of Nothing","Randy Ribay","Book","Patron Saints of Nothing remains a touchstone in United States cultural studies for how it stages identity history and community with clarity and emotional precision.","2019-06-18","English"
"PEN15","Maya Erskine","TV Show","Classrooms and film clubs often return to PEN15 when discussing United States storytelling traditions diaspora voices and the politics of representation.","2019-02-08","English"
"Peninsula","Yeon Sang-ho","Movie","Peninsula offers a memorable entry point into South Korea media histories inviting discussion of language genre conventions and transnational audiences.","2020-07-15","Korean"
"Perfect Blue","Satoshi Kon","Movie","Perfect Blue offers a memorable entry point into Japan media histories inviting discussion of language genre conventions and transnational audiences.","1998-02-28","Japanese"
"Persepolis","Marjane Satrapi","Graphic novel","This graphic novel from Iran continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2000-01-01","French / Persian"
"Persona 5","Atlus","Video game","Persona 5 is a widely taught video game from Japan that helps audiences compare how family migration and power show up on screen and in everyday life.","2016-09-15","Japanese"
"Ping Pong","Taiyo Matsumoto","Manga","Classrooms and film clubs often return to Ping Pong when discussing Japan storytelling traditions diaspora voices and the politics of representation.","1996-01-01","Japanese"
"Pink Tape","f(x)","Music","Pink Tape remains a touchstone in South Korea cultural studies for how it stages identity history and community with clarity and emotional precision.","2013-07-29","Korean"
"Plastic Love","Mariya Takeuchi","Music","Plastic Love offers a memorable entry point into Japan media histories inviting discussion of language genre conventions and transnational audiences.","1984-11-28","Japanese"
"Play","Jolin Tsai","Music","Play remains a touchstone in Taiwan cultural studies for how it stages identity history and community with clarity and emotional precision.","2014-11-15","Mandarin"
"Please Look After Mom","Kyung-sook Shin","Book","Please Look After Mom offers a memorable entry point into South Korea media histories inviting discussion of language genre conventions and transnational audiences.","2008-11-26","Korean"
"Poetry","Lee Chang-dong","Movie","Poetry offers a memorable entry point into South Korea media histories inviting discussion of language genre conventions and transnational audiences.","2010-05-13","Korean"
"Police Story","Jackie Chan","Movie","Police Story is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","1985-12-14","Cantonese"
"Pop Aye","Kirsten Tan","Movie","Classrooms and film clubs often return to Pop Aye when discussing Singapore storytelling traditions diaspora voices and the politics of representation.","2017-01-23","Thai"
"Princess Mononoke","Hayao Miyazaki","Movie","Princess Mononoke offers a memorable entry point into Japan media histories inviting discussion of language genre conventions and transnational audiences.","1997-07-12","Japanese"
"Psychopomp","Japanese Breakfast","Music","Psychopomp remains a touchstone in United States cultural studies for how it stages identity history and community with clarity and emotional precision.","2016-04-01","English"
"Puberty 2","Mitski","Music","This music from United States continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2016-06-17","English"
"Punisher","Phoebe Bridgers","Music","Punisher is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2020-06-18","English"
"Quiz Lady","Jessica Yu","Movie","Quiz Lady is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2023-09-09","English"
"Raise the Red Lantern","Zhang Yimou","Movie","This movie from China continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","1991-12-20","Mandarin"
"Rajinikanth: The Definitive Biography","Naman Ramachandran","Book","Rajinikanth: The Definitive Biography helps audiences practice close attention to nuance in India narratives where humor grief and resilience often share the same scene.","2012-12-12","English"
"Ranking of Kings","Yosuke Hatta","Anime","Ranking of Kings remains a touchstone in Japan cultural studies for how it stages identity history and community with clarity and emotional precision.","2021-10-15","Japanese"
"Rashomon","Akira Kurosawa","Movie","Rashomon remains a touchstone in Japan cultural studies for how it stages identity history and community with clarity and emotional precision.","1950-08-26","Japanese"
"Raya and the Last Dragon","Don Hall and Carlos López Estrada","Movie","Southeast Asian inspired fantasy adventure emphasizing trust and repair after a fractured kingdom.","2021-03-05","English"
"Raya and the Last Dragon","Don Hall","Movie","This movie from United States continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2021-03-05","English"
"Red Light","f(x)","Music","Scholars and community educators cite Red Light when mapping how South Korea creators experiment with form while staying rooted in lived experience.","2014-07-07","Korean"
"Reply 1988","Shin Won-ho","TV Show","Reply 1988 is frequently recommended for readers and viewers building literacy in Asian and Asian diaspora cultures across generations.","2015-11-06","Korean"
"Reservation Dogs","Taika Waititi and Sterlin Harjo","TV Show","While centered on Indigenous teens its writers room and guest arcs have helped widen conversations about whose stories anchor prestige TV including Asian Native collaborations in Oklahoma.","2021-08-09","English"
"Reset","Sun Haoyang","TV Show","This tv show from China continues to spark conversation about whose stories travel globally and how local contexts shape meaning.","2022-01-11","Mandarin"
"Rock the Boat","Lucy Yu","Podcast","Scholars and community educators cite Rock the Boat when mapping how United States creators experiment with form while staying rooted in lived experience.","2020-01-01","English"
"Rocket Boys","Abhay Pannu","TV Show","Rocket Boys is a widely taught tv show from India that helps audiences compare how family migration and power show up on screen and in everyday life.","2022-02-04","Hindi / English"
"Rockstar","A. R. Rahman","Music","Classrooms and film clubs often return to Rockstar when discussing India storytelling traditions diaspora voices and the politics of representation.","2011-11-11","Hindi"
"Roja","A. R. Rahman","Music","Roja remains a touchstone in India cultural studies for how it stages identity history and community with clarity and emotional precision.","1992-08-15","Tamil"
"RRR","S. S. Rajamouli","Movie","Classrooms and film clubs often return to RRR when discussing India storytelling traditions diaspora voices and the politics of representation.","2022-03-25","Telugu"
"Sacred Games","Anurag Kashyap","TV Show","Classrooms and film clubs often return to Sacred Games when discussing India storytelling traditions diaspora voices and the politics of representation.","2018-07-06","Hindi"
"Sailor Moon","Junichi Sato","Anime","Sailor Moon remains a touchstone in Japan cultural studies for how it stages identity history and community with clarity and emotional precision.","1992-03-07","Japanese"
"Sairat","Nagraj Manjule","Movie","Classrooms and film clubs often return to Sairat when discussing India storytelling traditions diaspora voices and the politics of representation.","2016-04-29","Marathi"
"Sanctuary","Kan Eguchi","TV Show","Sanctuary remains a touchstone in Japan cultural studies for how it stages identity history and community with clarity and emotional precision.","2023-05-04","Japanese"
"Saturday School","Ada Tseng","Podcast","Saturday School helps audiences practice close attention to nuance in United States narratives where humor grief and resilience often share the same scene.","2018-01-01","English"
"Savage","aespa","Music","Classrooms and film clubs often return to Savage when discussing South Korea storytelling traditions diaspora voices and the politics of representation.","2021-10-05","Korean"
"Saving Face","Alice Wu","Movie","Saving Face offers a memorable entry point into United States media histories inviting discussion of language genre conventions and transnational audiences.","2004-09-12","English / Mandarin"
"Sawayama","Rina Sawayama","Music","Sawayama helps audiences practice close attention to nuance in United Kingdom narratives where humor grief and resilience often share the same scene.","2020-04-17","English"
"Scam 1992","Hansal Mehta","TV Show","Scholars and community educators cite Scam 1992 when mapping how India creators experiment with form while staying rooted in lived experience.","2020-10-09","Hindi"
"Scissor Seven","He Xiaofeng","TV Show","Classrooms and film clubs often return to Scissor Seven when discussing China storytelling traditions diaspora voices and the politics of representation.","2018-04-25","Mandarin"
"Sea of Poppies","Amitav Ghosh","Book","Sea of Poppies remains a touchstone in India cultural studies for how it stages identity history and community with clarity and emotional precision.","2008-05-01","English"
"Searching","Aneesh Chaganty","Movie","A thriller told entirely through screens that put John Cho in a leading role as a father racing to find his missing daughter.","2018-08-24","English"
"Secret Sunshine","Lee Chang-dong","Movie","Secret Sunshine helps audiences practice close attention to nuance in South Korea narratives where humor grief and resilience often share the same scene.","2007-05-23","Korean"
"Sekiro: Shadows Die Twice","Hidetaka Miyazaki","Video game","Sekiro: Shadows Die Twice remains a touchstone in Japan cultural studies for how it stages identity history and community with clarity and emotional precision.","2019-03-22","English"
"Self Evident: Asian Americans Stories","Cathy Erway","Podcast","Documentary-style episodes on Asian American life from voting rights to mental health told with care and historical context.","2018-01-01","English"
